SampleID,Diversidad_Shannon,Firmicutes_%,Bacteroidetes_%,Actinobacteria_%,Proteobacteria_%,F_B_ratio
9586.113023,3.933261266,46.27386879,39.13366521,13.22535107,1.270525299,1.182456807
3360.113007,3.230591809,50.18575851,2.172342621,17.10526316,11.36738906,23.10213777
5060.113046,4.119497223,26.54611599,9.854483201,20.42585063,37.08538412,2.693811075
1481.125721,4.370031786,59.88254354,33.98136898,4.756118729,0.552566105,1.762216925
14510.12597,3.422695551,58.37332987,4.287196783,13.87339473,22.36347127,13.61573374
10877.12596,1.284465464,60.26263716,0.225859967,37.64266155,1.648977634,266.8141593
3207.125969,1.425436434,10.62292239,0.38541215,46.89502337,41.40771788,27.5625
4056.125974,2.701832339,21.74159426,0.585568568,65.12403979,8.619821181,37.12903226
14495.12598,4.57676557,51.84481962,27.03340689,17.53476677,2.730025145,1.917805619
3132.125977,1.654647568,47.92767733,0.205841446,49.49652295,2.325452017,232.8378378
13219.12597,0.833663541,94.35338617,0.24315562,2.958393372,1.661563401,388.037037
13240.12598,2.319868672,62.02081051,1.382803943,26.79353779,5.627053669,44.85148515
2722.12597,2.45092669,10.03150923,1.118899106,14.48781429,12.99594881,8.965517241
14492.12596,3.515717841,49.65131428,2.310521879,15.22338877,27.23580351,21.48922056
14971.12617,3.154742938,32.15177957,53.03595351,9.087946703,5.355009233,0.606226106
000002788.fixed211,3.259523766,31.70942206,1.842152253,44.17296589,17.76977561,17.21324717
000009701.fixed240,2.84087671,23.75833794,1.699451927,37.60037388,34.61783575,13.98
000014501.fixed94,3.126641514,56.01071076,2.536759525,14.40785456,25.10452389,22.07962963
000015140.fixed248,4.461405944,37.10490151,6.517898043,19.37046005,30.15509456,5.692771084
000015165.fixed39,3.58621086,38.34971952,1.538090355,42.43721978,7.165691537,24.93333333
000015173.fixed72,4.365420197,40.26486798,13.16114173,19.10010693,20.43267253,3.059375
000015174.fixed7,1.859453006,17.15596641,0.731409996,20.83841257,60.58682108,23.45601852
000015178.fixed10,4.098470295,49.40957619,21.82680902,23.30421654,4.278550631,2.263710474
000015182.fixed141,2.676584428,25.6148981,4.704458499,57.85507925,11.46638557,5.444813278
000015208.fixed60,2.909985866,39.60785161,1.096978989,44.77747306,13.32354402,36.10629921
000015211.fixed198,1.97211977,65.55424773,0.962403933,27.12040435,5.798656789,68.11510791
000015219.fixed92,4.247060739,34.92639343,5.210925554,16.22642641,34.54561809,6.702531646
000015255.fixed226,3.230793754,42.76366436,2.001539646,33.24672825,20.91993841,21.36538462
000015382.fixed245,3.315333221,28.17126425,1.991692406,17.25423368,51.60293961,14.14438503
000015280.fixed263,1.88671024,13.61275089,0.631641086,25.72756789,59.46871311,21.55140187
000015401.fixed105,2.833981892,27.96938428,2.097858759,60.60859595,9.032877816,13.3323486
000015328.fixed193,1.133853724,82.79127213,0.295669748,12.7774243,3.903589206,280.0126582
000015293.fixed151,2.204659967,62.81161899,2.049478919,28.15420191,5.587760144,30.64760433
000015449.fixed175,3.62454657,36.44127179,5.599106595,43.17684155,5.936323027,6.508408291
000015464.fixed212,4.301509264,39.57940537,5.228426396,31.37055838,18.03843365,7.570041609
000015292.fixed82,2.501254238,50.89828269,1.513493112,42.01736177,4.406491791,33.62967581
000015291.fixed84,3.66817974,37.0516153,10.77051615,9.903453398,35.00371333,3.440096535
000015392.fixed201,3.897376177,34.6598604,6.073549328,25.64850505,22.57526826,5.706689537
